"DATE","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyRelativeHumidity","HourlyWindSpeed","date","hour"
2016-01-01 00:00:00,43,0,58,17,2016-01-01,"00"
2016-01-01 01:00:00,43,0,58,17,2016-01-01,"01"
2016-01-01 02:00:00,43,0,56,16,2016-01-01,"02"
2016-01-01 03:00:00,42,0,55,13,2016-01-01,"03"
2016-01-01 04:00:00,42,0,55,13,2016-01-01,"04"
2016-01-01 05:00:00,41,0,60,13,2016-01-01,"05"
2016-01-01 06:00:00,41,0,60,13,2016-01-01,"06"
2016-01-01 07:00:00,41,0,60,13,2016-01-01,"07"
2016-01-01 08:00:00,41,0,57,10,2016-01-01,"08"
2016-01-01 09:00:00,40,0,58,10,2016-01-01,"09"
2016-01-01 10:00:00,40,0,58,9,2016-01-01,"10"
2016-01-01 11:00:00,41,0,53,11,2016-01-01,"11"
2016-01-01 12:00:00,42,0,53,14,2016-01-01,"12"
2016-01-01 13:00:00,41,0,53,14,2016-01-01,"13"
2016-01-01 14:00:00,41,0,53,16,2016-01-01,"14"
2016-01-01 15:00:00,40,0,55,18,2016-01-01,"15"
2016-01-01 16:00:00,40,0,49,15,2016-01-01,"16"
2016-01-01 17:00:00,40,0,45,14,2016-01-01,"17"
2016-01-01 18:00:00,39,0,46,13,2016-01-01,"18"
2016-01-01 19:00:00,39,0,50,15,2016-01-01,"19"
2016-01-01 20:00:00,38,0,52,10,2016-01-01,"20"
2016-01-01 21:00:00,38,0,48,11,2016-01-01,"21"
2016-01-01 22:00:00,37,0,48,15,2016-01-01,"22"
2016-01-01 23:00:00,36,0,50,16,2016-01-01,"23"
2016-01-02 00:00:00,37,0,42,15,2016-01-02,"00"
2016-01-02 01:00:00,36,0,44,13,2016-01-02,"01"
2016-01-02 02:00:00,36,0,46,20,2016-01-02,"02"
2016-01-02 03:00:00,36,0,48,14,2016-01-02,"03"
2016-01-02 04:00:00,36,0,50,18,2016-01-02,"04"
2016-01-02 05:00:00,35,0,54,18,2016-01-02,"05"
2016-01-02 06:00:00,35,0,54,18,2016-01-02,"06"
2016-01-02 07:00:00,35,0,54,11,2016-01-02,"07"
2016-01-02 08:00:00,35,0,54,8,2016-01-02,"08"
2016-01-02 09:00:00,35,0,50,9,2016-01-02,"09"
2016-01-02 10:00:00,36,0,48,13,2016-01-02,"10"
2016-01-02 11:00:00,37,0,46,14,2016-01-02,"11"
2016-01-02 12:00:00,38,0,48,15,2016-01-02,"12"
2016-01-02 13:00:00,40,0,43,7,2016-01-02,"13"
2016-01-02 14:00:00,40,0,45,11,2016-01-02,"14"
2016-01-02 15:00:00,40,0,45,10,2016-01-02,"15"
2016-01-02 16:00:00,40,0,45,11,2016-01-02,"16"
2016-01-02 17:00:00,41,0,45,18,2016-01-02,"17"
2016-01-02 18:00:00,39,0,45,16,2016-01-02,"18"
2016-01-02 19:00:00,38,0,48,8,2016-01-02,"19"
2016-01-02 20:00:00,37,0,48,7,2016-01-02,"20"
2016-01-02 21:00:00,37,0,48,7,2016-01-02,"21"
2016-01-02 22:00:00,37,0,50,11,2016-01-02,"22"
2016-01-02 23:00:00,37,0,50,10,2016-01-02,"23"
2016-01-03 00:00:00,37,0,52,13,2016-01-03,"00"
